DOI,Titulo_Tokens,Abstract_Tokens,Autores,Fecha,Seccion
10.48550./arXiv.2503.11557,verify Benchmark Visual Explanation Reasoning investigate Multimodal Reasoning Fidelity,visual reasoning be central human cognition enable individual to interpret abstractly understand environment recent Multimodal large Language Models MLLMs have demonstrate impressive performance language vision language task exist benchmark primarily measure recognition base skill inadequately assess true visual reasoning capability to bridge critical gap introduce VERIFY benchmark explicitly design to isolate rigorously evaluate visual reasoning capability state art mllm VERIFY compel model to reason primarily visual information provide minimal textual context to reduce reliance domain specific knowledge linguistic bias problem be accompany human annotate reasoning path make first to provide depth evaluation model decision make process additionally propose novel metric that assess visual reasoning fidelity mere accuracy highlight critical imbalance current model reasoning pattern comprehensive benchmarking lead MLLMs uncover significant limitation underscore need balanced holistic approach perception reasoning more teaser testing visit project page https url,"Jing Bi, Junjia Guo, Susan Liang, Guangyu Sun, Luchuan Song, Yunlong Tang, Jinxi He, Jiarui Wu, Ali Vosoughi, Chen Chen, Chenliang Xu",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11549,similarity aware Token pruning vlm fast,computational demand Vision Transformers ViTs Vision Language Models VLMs remain significant challenge quadratic complexity self attention token pruning offer promising solution exist method often introduce training overhead fail to adapt dynamically layer present SAINT training free token pruning framework that leverage token similarity graph base formulation to dynamically optimize pruning rate redundancy threshold systematic analysis identify universal three stage token evolution process aligner explorer aggregator transformer enable aggressive pruning early stage sacrifice critical information ViTs SAINT double throughput ViT h/14 224px only 0.6 accuracy loss ImageNet-1 K surpass close competitor 0.8 vlm apply SAINT three mode ViT only LLM only hybrid SAINT reduce LLaVA-13B 's token 75 achieve latency comparable LLaVA-7B less 1 performance loss benchmark work establish unify practical framework efficient inference ViTs VLMs,"Ahmadreza Jeddi, Negin Baghbanzadeh, Elham Dolatabadi, Babak Taati",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11544,auggen Synthetic Augmentation can improve Discriminative model,increase dependence large scale dataset machine learning introduce significant privacy ethical challenge synthetic data generation offer promising solution however most current method rely external dataset pre train model which add complexity escalate resource demand work introduce novel self contain synthetic augmentation technique that strategically sample conditional generative model train exclusively target dataset approach eliminate need auxiliary datum source apply to face recognition dataset method achieve 1 -12\% performance improvement IJB C IJB B benchmark outperform model train solely real datum exceed performance state art synthetic datum generation baseline notably enhancement often surpass achieve architectural improvement underscore significant impact synthetic augmentation data scarce environment finding demonstrate carefully integrate synthetic datum not only address privacy resource constraint also substantially boost model performance project page https url,"Parsa Rahimi, Damien Teney, Sebastien Marcel",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11538,FLASHμ Fast Localizing Sizing Holographic microparticle,reconstruct 3d location size microparticle diffraction image hologram be computationally expensive inverse problem that have traditionally be solve use physics base reconstruction method more recently researcher have use machine learn method to speed up process however small particle large sample volume performance method fall short standard physics base reconstruction method here design two stage neural network architecture FLASH$\mu$ to detect small particle 6 100$\mu$m hologram large sample depth to 20 cm train only synthetic datum add physical noise method reliably detect particle at least 9$\mu$m diameter real hologram comparable standard reconstruction base approach operate small crop quarter original resolution provide roughly 600 fold speedup addition introduce novel approach non local object detection signal demixing problem work could enable low cost real time holographic imaging setup,"Ayush Paliwal, Oliver Schlenczek, Birte Thiede, Manuel Santos Pereira, Katja Stieger, Eberhard Bodenschatz, Gholamhossein Bagheri, Alexander Ecker",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11519,explore typographic Visual Prompts Injection Threats Cross Modality Generation model,Current Cross Modality Generation Models GMs demonstrate remarkable capability various generative task give ubiquity information richness vision modality input real world scenario Cross vision encompass Vision Language Perception VLP image Image I2I task have attract significant attention large Vision Language Models lvlm I2I gm be employ to handle VLP I2I task respectively previous research indicate print typographic word input image significantly induce LVLMs I2I GMs to generate disruptive output semantically relate word additionally visual prompt more sophisticated form typography be also reveal to pose security risk various application VLP task when inject image paper comprehensively investigate performance impact induce Typographic Visual Prompt Injection TVPI various lvlm I2I GMs to well observe performance modification characteristic threat also introduce TVPI Dataset extensive exploration deepen understanding underlying cause tvpi threat various gm offer valuable insight potential origin,"Hao Cheng, Erjia Xiao, Yichi Wang, Kaidi Xu, Mengshu Sun, Jindong Gu, Renjing Xu",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11513,HiTVideo Hierarchical Tokenizers enhance text Video Generation Autoregressive Large Language model,text video generation pose significant challenge inherent complexity video datum which span temporal spatial dimension introduce additional redundancy abrupt variation domain gap language vision token generation address challenge require effective video tokenizer that can efficiently encode video datum preserve essential semantic spatiotemporal information serve critical bridge text vision inspire observation VQ VAE-2 workflow traditional animation propose HiTVideo text video generation hierarchical tokenizer utilize 3d causal VAE multi layer discrete token framework encode video content hierarchically structure codebook high layer capture semantic information high compression low layer focus fine grain spatiotemporal detail strike balance compression efficiency reconstruction quality approach efficiently encode long video sequence e.g. 8 second 64 frame reduce bit pixel bpp approximately 70\% compare baseline tokenizer maintain competitive reconstruction quality explore trade off compression reconstruction emphasize advantage high compress semantic token text video task HiTVideo aim to address potential limitation exist video tokenizer text video generation task strive high compression ratio simplify llm modeling language guidance offer scalable promising framework advance text video generation demo page https url,"Ziqin Zhou, Yifan Yang, Yuqing Yang, Tianyu He, Houwen Peng, Kai Qiu, Qi Dai, Lili Qiu, Chong Luo, Lingqiao Liu",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11498,Cloud2BIM open source automatic pipeline efficient conversion large scale point cloud IFC format,Building Information Modeling BIM be essential component sustainable reconstruction revitalization age structure however model creation usually rely laborious manual transformation unstructured point cloud datum provide laser scan photogrammetry paper present Cloud2BIM open source software tool design to automate conversion point cloud BIM model compliant Industry Foundation Classes IFC standard Cloud2BIM integrate advanced algorithm wall slab segmentation open detection room zoning base real wall surface result comprehensive fully automate workflow exist tool avoid computationally- calibration intensive technique such RANSAC support non orthogonal geometry provide unprecedented processing speed achieve result to seven time fast fast compete solution systematic validation use benchmark dataset confirm Cloud2BIM be easy use efficient scalable solution generate accurate bim model capable convert extensive point cloud dataset entire building IFC format minimal user input,"Slávek Zbirovský, Václav Nežerka",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11496,Cognitive Disentanglement Referring Multi object tracking,significant application multi source information fusion intelligent transportation perception system refer Multi object Tracking RMOT involve localize track specific object video sequence base language reference however exist RMOT approach often treat language description holistic embedding struggle to effectively integrate rich semantic information contain language expression visual feature limitation be especially apparent complex scene require comprehensive understanding static object attribute spatial motion information paper propose Cognitive Disentanglement Referring Multi object Tracking CDRMT framework that address challenge adapt what where pathway human visual processing system RMOT task specifically framework comprise three collaborative component 1)the Bidirectional Interactive Fusion module first establish cross modal connection preserve modality specific characteristic 2 build foundation Progressive Semantic decouple Query Learning mechanism hierarchically inject complementary information object query progressively refine object understanding coarse fine grain semantic level 3 finally Structural Consensus Constraint enforce bidirectional semantic consistency visual feature language description ensure track object faithfully reflect refer expression extensive experiment different benchmark dataset demonstrate CDRMT achieve substantial improvement state art method average gain 6.0 HOTA score Refer kitti 3.2 Refer KITTI V2 approach advance state art RMOT simultaneously provide new insight multi source information fusion,"Shaofeng Liang, Runwei Guan, Wangwang Lian, Daizong Liu, Xiaolou Sun, Dongming Wu, Yutao Yue, Weiping Ding, Hui Xiong",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11495,V STaR benchmarke Video LLMs Video Spatio Temporal Reasoning,human process video reasoning sequential spatio temporal reasoning logic first identify relevant frame when then analyse spatial relationship where key object finally leverage relationship to draw inference what however can video Large Language Models Video LLMs also reason sequential spatio temporal logic video exist video LLM benchmark primarily focus assess object presence neglect relational reasoning consequently be difficult to measure model truly comprehend object interaction action event video merely rely pre train memory co occurrence bias generate answer work introduce Video spatio Temporal Reasoning V STaR benchmark to address shortcoming key idea be to decompose video understanding Reverse spatio Temporal Reasoning RSTR task that simultaneously evaluate what object be present when event occur where be locate capture underlie chain thought CoT logic to support evaluation construct dataset to elicit spatial temporal reasoning process Video LLMs contain coarse fine cot question generate semi automated GPT-4 power pipeline embed explicit reasoning chain to mimic human cognition experiment 14 Video LLMs V STaR reveal significant gap current Video LLMs need robust consistent spatio temporal reasoning,"Zixu Cheng, Jian Hu, Ziquan Liu, Chenyang Si, Wei Li, Shaogang Gong",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11481,T2I FineEval Fine Grained Compositional Metric text Image Evaluation,recent text image generative model have achieve impressive performance still often struggle capture compositional complexity prompt include attribute bind spatial relationship different entity misalignment be not reveal common evaluation metric such CLIPScore recent work have propose evaluation metric that utilize Visual Question Answering VQA decompose prompt question generate image more robust compositional evaluation method align well human evaluation still fail to fully cover compositionality image to address propose novel metric that break down image component text fine grain question generate image evaluation method outperform previous state art metric demonstrate effectiveness evaluate text image generative model Code be available https URL T2I FineEval,"Seyed Mohammad Hadi Hosseini, Amir Mohammad Izadi, Ali Abdollahi, Armin Saghafian, Mahdieh Soleymani Baghshah",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11465,Remote Photoplethysmography Real World Extreme Lighting Scenarios,physiological activity can be manifest sensitive change facial imaging be barely observable eye computer vision manner can derive remote photoplethysmography rppg have show considerable promise however exist study mainly rely spatial skin recognition temporal rhythmic interaction focus identify explicit feature ideal light condition perform poorly wild intricate obstacle extreme illumination exposure paper propose end end video transformer model rppg strive to eliminate complex unknown external time vary interference be sufficient to occupy subtle biosignal amplitude exist periodic perturbation that hinder network training specific implementation utilize global interference sharing subject background reference self supervise disentanglement to eliminate interference far guide learn base spatiotemporal filtering reconstruction guidance frequency domain biological prior constraint to achieve effective rppg good knowledge be first robust rppg model real outdoor scenario base natural face video be lightweight to deploy extensive experiment show competitiveness performance model rppg prediction dataset scene,"Hang Shao, Lei Luo, Jianjun Qian, Mengkai Yan, Shuo Chen, Jian Yang",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11439,COIN Confidence Score Guided Distillation Annotation Free Cell segmentation,cell instance segmentation CIS be crucial identify individual cell morphology histopathological image provide valuable insight biological medical research unsupervised CIS UCIS model aim to reduce heavy reliance labor intensive image annotation fail to accurately capture cell boundary cause miss detection poor performance recognize absence error free instance key limitation present COIN COnfidence score guide INstance distillation novel annotation free framework three key step 1 increase sensitivity presence error free instance unsupervised semantic segmentation optimal transport leverage ability to discriminate spatially minor instance 2 instance level confidence scoring to measure consistency model prediction refined mask identify highly confident instance offer alternative ground truth annotation 3 progressive expansion confidence recursive self distillation extensive experiment six dataset show COIN outperform exist ucis method even surpass semi- weakly supervise approach metric MoNuSeg tnbc dataset code be available https url,"Sanghyun Jo, Seo Jin Lee, Seungwoo Lee, Seohyung Hong, Hyungseok Seo, Kyungsu Kim",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11423,TASTE Rob advance Video Generation Task orient Hand Object Interaction Generalizable Robotic Manipulation,"address key limitation exist dataset model task orient hand object interaction video generation critical approach generate video demonstration robotic imitation learning current dataset such Ego4D often suffer inconsistent view perspective misaligned interaction lead reduce video quality limit applicability precise imitation learning task end introduce TASTE Rob pioneer large scale dataset 100,856 ego centric hand object interaction video video be meticulously align language instruction record consistent camera viewpoint to ensure interaction clarity fine tune Video Diffusion Model VDM TASTE Rob achieve realistic object interaction observe occasional inconsistency hand grasping posture to enhance realism introduce three stage pose refinement pipeline that improve hand posture accuracy generate video curate dataset couple specialized pose refinement framework provide notable performance gain generate high quality task orient hand object interaction video result achieve superior generalizable robotic manipulation TASTE Rob dataset will be make publicly available publication to foster further advancement field","Hongxiang Zhao, Xingchen Liu, Mutian Xu, Yiming Hao, Weikai Chen, Xiaoguang Han",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11412,MTV Inpaint Multi Task Long Video inpainte,video inpainte involve modify local region video ensure spatial temporal consistency Most exist method focus primarily scene completion i.e. fill missing region lack capability to insert new object scene controllable manner fortunately recent advancement text video T2V diffusion model pave way text guide video inpainting however directly adapt T2V model inpainte remain limited unify completion insertion task lack input controllability struggle long video thereby restrict applicability flexibility to address challenge propose MTV Inpaint unified multi task video inpainte framework capable handle traditional scene completion novel object insertion task to unify distinct task design dual branch spatial attention mechanism T2V diffusion U net enable seamless integration scene completion object insertion single framework addition textual guidance MTV Inpaint support multimodal control integrate various image inpainte model propose image video i2v inpainte mode additionally propose two stage pipeline that combine keyframe inpainte between frame propagation enable MTV Inpaint to effectively handle long video hundred frame extensive experiment demonstrate MTV Inpaint achieve state art performance scene completion object insertion task furthermore demonstrate versatility derive application such multi modal inpainting object editing removal image object brush ability to handle long video project page https url,"Shiyuan Yang, Zheng Gu, Liang Hou, Xin Tao, Pengfei Wan, Xiaodong Chen, Jing Liao",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11409,LuSeg Efficient Negative Positive Obstacles Segmentation Contrast drive Multi modal Feature Fusion Lunar,"lunar exploration mission grow increasingly complex ensure safe autonomous rover base surface exploration have become one key challenge lunar exploration task work have develop lunar surface simulation system call Lunar Exploration Simulator System LESS LunarSeg dataset which provide rgb d datum lunar obstacle segmentation that include positive negative obstacle additionally propose novel two stage segmentation network call LuSeg contrastive learning enforce semantic consistency RGB encoder Stage depth encoder Stage II experimental result propose LunarSeg dataset additional public real world NPO road obstacle dataset demonstrate LuSeg achieve state art segmentation performance positive negative obstacle maintain high inference speed approximately 57\,hz have release implementation LESS system LunarSeg dataset code LuSeg https url","Shuaifeng Jiao, Zhiwen Zeng, Zhuoqun Su, Xieyuanli Chen, Zongtan Zhou, Huimin Lu",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11400,Framework capability drive Evaluation Scenario Understanding Multimodal Large Language Models Autonomous Driving,multimodal large language model mllm hold potential to enhance autonomous driving combine domain independent world knowledge context specific language guidance integration autonomous driving system show promise result isolated proof concept application performance be evaluate selective singular aspect perception reasoning planning to leverage full potential systematic framework evaluate mllm context autonomous driving be require paper propose holistic framework capability drive evaluation MLLMs autonomous driving framework structure scenario understanding four core capability dimension semantic spatial temporal physical be derive general requirement autonomous driving system human driver cognition language base reasoning far organise domain context layer processing modality downstream task such language base interaction decision making to illustrate framework 's applicability two exemplary traffic scenario be analyse ground propose dimension realistic driving situation framework provide foundation structured evaluation mllm potential scenario understanding autonomous driving,"Tin Stribor Sohn, Philipp Reis, Maximilian Dillitzer, Johannes Bach, Jason J. Corso, Eric Sax",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11392,watch learn leverage Expert Knowledge Language Surgical Video understanding,automated surgical workflow analysis be crucial education research clinical decision making lack annotated dataset hinder development accurate comprehensive workflow analysis solution introduce novel approach address sparsity heterogeneity annotated training datum inspire human learn procedure watch expert understand explanation method leverage video language model train alignment denoising generative task to learn short term spatio temporal multimodal representation task specific temporal model be then use to capture relationship entire video to achieve comprehensive video language understanding surgical domain introduce data collection filtering strategy to construct large scale pretraining dataset educational YouTube video then utilize parameter efficient fine tuning project downstream task annotation publicly available surgical dataset language domain extensive experiment two surgical domain demonstrate effectiveness approach performance improvement to 7 phase segmentation task 8 zero shot phase segmentation comparable capability fully supervise model few shot setting harness model 's capability long range temporal localization text generation present first comprehensive solution dense video captioning DVC surgical video address task absence exist dvc dataset surgical domain introduce novel approach surgical workflow understanding that leverage video language pretraining large scale video pretraining optimize fine tuning method improve performance state art technique enable new downstream task surgical video understanding,"David Gastager, Ghazal Ghazaei, Constantin Patsch",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11389,Deepfake Detection Face Images base Convolutional Neural Network,Fake News especially deepfake generate non real image video content have become serious topic last year emergence machine learning algorithm be now easy ever before to generate such fake content even private person issue generate fake image be especially critical context politic public figure want to address conflict build model base Convolutions Neural Network order to detect such generate fake image show human portrait basis use pre train ResNet-50 model effectiveness term classify image then adopt base model task classify single image authentic real fake add fully connect output layer contain single neuron indicate authenticity image apply fine tuning transfer learning to develop model improve parameter training process collect image datum set Diverse Face Fake Dataset contain wide range different image manipulation method also diversity term face visible image final model reach follow outstanding performance metric precision = 0.98 recall 0.96 F1 score = 0.97 area curve = 0.99,"Lukas Kroiß, Johannes Reschke",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11371,emotive event guide Trajectory Modeling 3d Motion Estimation,visual 3d motion estimation aim to infer motion 2D pixel 3d space base visual cue key challenge arise depth variation induce spatio temporal motion inconsistency disrupt assumption local spatial temporal motion smoothness previous motion estimation framework contrast event camera offer new possibility 3d motion estimation continuous adaptive pixel level response to scene change paper present emotive novel event base framework that model spatio temporal trajectory event guide non uniform parametric curve effectively characterize locally heterogeneous spatio temporal motion specifically first introduce Event Kymograph event projection method that leverage continuous temporal projection kernel decouple spatial observation to encode fine grain temporal evolution explicitly motion representation introduce density aware adaptation mechanism to fuse spatial temporal feature event guidance couple non uniform rational curve parameterization framework to adaptively model heterogeneous trajectory final 3d motion estimation be achieve multi temporal sampling parametric trajectory yield optical flow depth motion field to facilitate evaluation introduce carlaevent3d multi dynamic synthetic dataset comprehensive validation extensive experiment dataset real world benchmark demonstrate effectiveness propose method,"Zengyu Wan, Wei Zhai, Yang Cao, Zhengjun Zha",14/03/2025,Computer Vision and Pattern Recognition
10.48550./arXiv.2503.11368,PBR3DGen VLM guide Mesh Generation high quality PBR texture,generate high quality physically base render PBR material be important to achieve realistic rendering downstream task remain challenge intertwine effect material lighting existing method have make breakthrough incorporate material decomposition 3d generation pipeline tend to bake highlight albedo ignore spatially vary property metallicity roughness work present PBR3DGen two stage mesh generation method high quality PBR material that integrate novel multi view PBR material estimation model 3d PBR mesh reconstruction model specifically PBR3DGen leverage vision language model VLM to guide multi view diffusion precisely capture spatial distribution inherent attribute reflective metalness material additionally incorporate view dependent illumination aware condition pixel aware prior to enhance spatially vary material property furthermore reconstruction model reconstruct high quality mesh PBR material experimental result demonstrate PBR3DGen significantly outperform exist method achieve new state art result PBR estimation mesh generation More result visualization can be find project page https url,"Xiaokang Wei, Bowen Zhang, Xianghui Yang, Yuxuan Wang, Chunchao Guo, Xi Zhao, Yan Luximon",14/03/2025,Computer Vision and Pattern Recognition
