Tweet_ID,Teaser_Tokens,Tag_Value
29,"Ecuador es país destino tránsito personas necesitan protección internacional . últimas dos décadas , Ecuador ha acogido mayores poblaciones refugiados reconocidos América Latina , mayoría vecina Colombia . @ACNURamericas",0
30,personas refugiadas venezolanas Colombia https://t.co/14wjO4tvi4,0
31,"@AldeaFundacion @DDHH_Alianza @SurkunaEc @VivianIdrovo @confeniae1 @CIDH Podría ser vayan Venezuela , Nicaragua allá creo también quieren .",0
32,@SagSenasaHn @saghonduras Señores SENASA indica favor tipo inmunización inmunógeno utilizan prevenir Encefalitis Equina Venezolana . Igualmente información enfermedades exóticas bovinos mencionadas Tweet . Gracias respuesta .,0
33,@Wimbledon dará entradas gratuitas refugiados ucranianos donará USD 307.100 afectados invasión rusa país . https://t.co/hcAaPfcZZ5,0
34,"Soy venezolana hablé colombiano explique detalle pasaria país ganaba socialismo , pobres tienen tando deseo ser escuchados dieron poder menos indicado .",0
35,@SinCensuraCol Ojalá pase venezolanos regresen país luchar dejen estar opinando Colombia país tendió mano son desagradecidos,1
36,"@Winchester1121 @SandraC22228290 @VickyDavilaH @Eganbernal Jóvenes parias vendiendo frunas diciendo sandeces escuchan jóvenes venezolanos buses , lastimosamente será así , es tiempo ya pasa edad tiene cualidad llama paciencia ... pareciera q uds no supiesen clase",1
37,@GeneralDHodl @enfermera1990 interesa compramos no dólar es veneco busque pais,1
38,"Marica ¿ Venezolanos creen pueden opinar situación política país ? no queremos regalado , partida hijueputas .",1
39,"No sabía ya había posesionado @petrogustavo debe ser ya paso ya da órdenes fiscalía , procuraduría , alcaldes hasta @IvanDuque , ya restablecieron relaciones régimen Venezolano , mejor dicho ya empezó régimen ! !",0
40,"noche , única función MUJ-ERES Colectiva Mujeres Refugiadas , Exiliadas Migradas , proceso años investigación dentro línea trabajo Memoria Paz , Gimanasio Moderno entrada libre . Más info : https://t.co/aivCB30OJf https://t.co/XRHzarqgDj",0
41,"@J_Upegui @QuinteroCalle @diamaov @independienteco @estebanrestre @Juanparal @jucja18 pueblo no chamo , sabemos son contratistas alcaldía 😂 🤡 🤡 🤡",0
42,@eluniversocom Ecuador diablos importa opinen comunistas Venezuela ! ¡,1
43,# ConectandoCaminosPorLosDerechos Circula cadena dirigida refugiados promete bono casi 2 millones pesos ingresan enlace Cadena # FALSA @USAID_Colombia @Internews_AMER @PactColombia @ABARuleofLaw @FreedomHouseLAC https://t.co/1MuSxS12Xt,0
44,@Polificcion @LassoGuillermo @juancaholguin @panchojimenezs @CarrilloRosero no no denuncias protegidos Venezolanos delincuentes disfrasados refugiados indocumentados cobran 50 dólares infiltrados paro hacen pasar indígenas,1
45,@lololennon11 @martbravoB @mjtorresh Entonces dime tiene hacer venezolano manifestación ecuatorianos vayan país sacar lacra presidente tienen,1
46,"@ravila67 Detrás camioneta hay motorizados no tienen pinta campesinos , más bien tienen pinta chamos https://t.co/Rl8hUdRVIF",1
47,"@AndreaPavon4 indígenas están ganando odio gente , más estar alfombras ratas venezolanas https://t.co/2CgmGp46Vk",1
48,piensa vota señor trata Hp empleada no hacer ilícito después amenaza echarla ? equiparara virgen prostitutas dice venezolano no puede dar bala toca recibirlo ... sea verdad ?,1
49,"# Opinión ¿ va pasar agenda pendiente deja @IvanDuque refugiados venezolanos ? ¿ va hacer @petrogustavo tema ? @ligiabolivar , experta # RedDeVenezuela , explica importancia ponerle atención agenda . Va hilo 🧵 https://t.co/OgdqrzYMNy",0
50,"No sorprende gente especulando video chama , quería fama , no , carrera comenzó , only ... Ya perdí tipo fe gente pueblo . bueno es digo soy san carlos sabe queda mierda .",0
51,"Ironías vida , Venezolanos marchando sacar presidente Ecuador no país ! ¿ pasó aquí ? 😑",1
52,"@Cholo_Huaman Es puedo entender , no justificar . no pienso acento , llevo orgullo xq no quiero dejar ser soy . contrario creo trabajo es ser mismo empatizar . No avergüenzo ser venezolana , xq ocurre no es culpa .",0
53,@lxmxvxo chama,0
54,"@PichiBlu_e Eso es indigna , manera obligadamente traen , cortan agua tienen pagar multas .. así , casos más habrá pasen hambre , exponiéndose",0
55,"Repudiamos actos vandalicos responsabilizamos Bélgica refugiado no respetar cumplir leyes internacionales asisten , negociaciones paz velarán bien ecuatorianos reparación económica inmediata https://t.co/yC11oIyJhc",0
56,"@CarolinaMora79 Señora , vayan , es bueno viene inversión cubana , nicaragüense venezolana rusa . ( Nunca , . )",0
57,@Margaritarosadf @Marbelle30 @petrogustavo Naguara chamo ..... ufff triunfo Petro ya está cambiando . conchale vale .,0
58,No está pasando últimamente siento acento extraño chamo . Nawebona .,0
59,"@EIGNAHINCAPIE @Jeison_HeroeCNN @petrogustavo vayas votar imagínate vida llevan hermanas Venezolanas acá Colombia , gran mayoría trabaja burdeles así 👁 ️ 👁 ️ 👁 ️ https://t.co/G6QEjJJbea",1
60,"@panadero2196 claro patronal interesa gente mano delante detrás , papeles , hacinados infraviviendas construyen lado invernaderos , miedo , hambre ... es sentido Europa Fortaleza .",0
61,@VerdugaAbraham Venezuela ?,0
62,año # DíaMundialDeLasPersonasRefugiadas toca aún más cerca cabe 💙 💛 @XSolidaria ayudas personas refugiadas ven obligadas abandonar hogar . Puedes conocer proyectos específicos aquí : https://t.co/YNOM5LfGbL # MarcarLaXesLoNormal https://t.co/gM6P9cmg91,0
63,@carloscaique77 @2ulisesz @AsoDeporCali eres tan malagradecido chamo .. 🫤,0
64,venezolana viendo Colombianos deciden país sea destruido ! https://t.co/yvQAswUDTF,0
65,selecciones Colombia Venezuela buscarán mañana medalla oro fútbol femenino Juegos Bolivarianos disputan Valledupar . Colombia empate será campeón . 8 goles favor 1 contra . 6 puntos . @CapsulasFutbol @momdeportes @FormasIntimas,0
66,"@julipalacioc Uss Mengele atrevió tanto tan bonita tan facha , es buena cagada papel blanco limpiarse ojete .",0
67,▶ Situación emocional persona refugiada es tu casa https://t.co/eQF5ZiENdP,0
68,"Chamas cabro ayer marcha . asquito , no es Dios manas . # PrideMonth",0
69,"# Migración | actividades conmemoración Día Mundial Refugiado Bogotá concentraron Soacha , Kennedy Ciudad Bolívar. 👇 https://t.co / g4m0NUdFHI",0
70,"📌 conmemoración Día Internacional Refugiado , llegamos botiquines móviles , atención médica gratuita usuarios extranjeros especial niños fundación Haciendo Panas dentro programa movilidad humana . # farmasoltequierebien ❤ ️ https://t.co/wizz2uiQ86",0
71,@SpreenDWC @TsaoSSJ @Ivancit89272232 @FlasheoYT Juegue chama juegue,0
72,@Polificcion @LassoGuillermo @juancaholguin @panchojimenezs @CarrilloRosero también estan Venezolanos delincuentes disfrasados refugiados indocumentados apoya métidos paro cobrando actos terroristas deben anular regularización Venezolanos deportación inmediata,1
73,"@Cubillos716 no es "" periodista "" escribió venezolanas dejarán parir ? final dice Francia "" no entendió "" es decir no ofrece disculpas expresó mal , culpa es ser tan bruto no entender , no note xenofobia racismo ... https://t.co/PQHu90pAWO",0
74,@Margaritarosadf Muy venezolana propuesta ! muy bolivarianos .,0
75,https://t.co/DxiwHa93p3 Maestro somos 10 millones dijimos . NO TAPE SOL DEDO AVECINA.OJALÁ NO TOQUE BUSCAR TOLDA PARTE ECHARSE MALETA HOMBRO COMO VENECOS COBARDES ERRANTES NÓMADAS.A MI GUERRILLERO PIROMANO NO REPRESENTA,1
76,@BancadaPkEc @sofisanchezu @AsambleaEcuador @CONAIE_Ecuador @marlon_santi @Isabel_EJ @JessicaPk18 @ConsueloVegaMS @Ricardo_Vanegas @vicenteopi @elcomerciocom TRAIDORES HIJUEPUTAS ! ! ! ... Dan asco ! ! ! ...,0
77,¿ @FranciaMarquezM parece raro mujer venezolana empobrecida opere tetas quiera vivir sabroso ? Vea . https://t.co/2tI9p05hDD,0
78,@OXKAR_U @Bogota2022 Tranquilo quisieron VENECOS salario es 3 dólares mes ... iguales miseria ... pasó eligieron Bestia ... Espera @petrogustavo @bvcColombia @NYSE https://t.co/Mnyf6QXjS4,0
79,"@Eganbernal campeón @Eganbernal cuento sumerce , primera edición # PREMIOSTRIBUTOALLLANO @GobArauca @alcaldiaarauca UnionDeVoluntades dos países hermanos unen # AbrazoLlanero cultura llanera Colombo-Venezolana WhatsApp 57 3187579688",0
80,"@Lalo853 @guillon2511 Vea Venezuela , no estaba promesas Chávez México no estaba promesas amlo",0
81,@victorjajoy @Andreaguzpa Venecos queriendo dar opiniones jajajajja,1
82,"@UldaricoChilito @petrogustavo , era capacitado Ministro Hacienda , dipsómano encargado satisfacer deseos Cuba , Nicaragua Venezuela .",0
83,"Jornada positiva # Colombia , # Venezuela # Chile # JuegosBolivarianos https://t.co/1YTuQuiy6 G",0
84,modelo ha mostrado bastante enamorada actor venezolano Gabriel Coronel . https://t.co/xieeksH40j,0
85,""" Alemania , quedó economía mercado , libre empresa seguridad jurídica ? términos he oído Venezuela cansancio supuestamente no cumplir normas tenemos más 500 sanciones ! "" abre NUEVO frente https://t.co/ajo44Pry3i @YouTube",0
86,@FreddyGuevaraM @DanteFontana3 Hola soy colombiano t tengo razones primera relaciones ejercito petro seran tensAs ejercito colombiano ha combatido ultimos 70 años guerrilla oligarquía colombiana es distinta venezolana hace 30 años crearon auc,0
87,"vida medios fue fundamental , pasó Grupo Empresas 1-BC . Dónde aprendí mucho excelente difícil implica ser venezolano . siento agradecido ; aprender correcto coexiste injusto . fin , feliz día periodista .",0
88,"vengo diciendo quieten elmpoder elegidos @LeonidasIzaSal1 presindete , quieren imponer ahí tiene facha venecos no permitir rompa democracias @LeonidasIzaSal1 terrorista @LassoGuillermo @MinGobiernoEc @PoliciaEcuador https://t.co/CJsU4i8KIm",1
89,@mauroandinoe lucha social es pacífica hemos vivido es total vandalismo indígenas mano venezolanos,1
90,"@PacoSevillaC @AnitaMGalarzaA Ahora son indígenas venezolanos , favor más empatía ☺ ️ https://t.co/DIb31gZd4c",1
91,"CHAMO es palabra 100% venezolana , llevada partes mundo venezolanos ofende palabra ... Mard!ta sea laksjskakakkakajsjsakkakakakajsjsjsakkaakjshssjaka ! # VenecosSiendoVenecos https://t.co/M6pA5pfFBm",0
92,@sybelmartinez @PrimeraPlanaECU @CarrilloRosero @LeonidasIzaSal1 Mentira ... no estén Ecuador 🇪 🇨 ... sacando YouTube Venezuela,0
93,Hoy tuve mañana muy fructífera satisfactoria . Estuve mentora # ciberseguridad grupo mujeres refugiadas emprendedoras . Gracias @HIAS_ECUADOR @ACNUREcuador @GirlsinTech_Ec grandiosa oportunidad . https://t.co/zhbPaseykh,0
94,"@mjtorresh No , venecos robando cobrando vandalizar .",1
95,"Hoy es 20 junio Día Mundial Refugiado , quiero agradecer gobierno ecuatoriano cancilleria promesas nunca cumplieron . refugiados no son seres humanos fin . @LassoGuillermo @CancilleriaEc @juancaholguin @SEspindolaEc @DDHH_Ec https://t.co/UZ3gGRzclv",0
96,@LaPosta_Ecu AQUÍ SÓLO HAY SUJETO CLÓSET REFUGIADO ÁTICO ES JEFE IZA,0
97,"Hoy es # DíadelRefugiado . Médicos Fronteras , somos testigos padecer cientos miles personas # desplazadas , # refugiadas , solicitantes asilo migrantes mundo 🌎 ⬇ https://t.co/FqvQGHrty0",0
98,@josedarochabar1 @laysgoulart999 @ThiagoScap Manja rola chama !,0
99,gestión conocimiento también aportamos reconocimiento refugiados migrantes . # ConLosRefugiados https://t.co/HiwnLaK8Oc,0
100,Hay razones hoy # DiaDelRefugiado es importante . @JoseXavierSama1 cuenta 👇 https://t.co/cJtUugC9iZ,0
101,gonorrea malparido tapicero veneco tiene amenazada mamá,1
102,"Alejandra Carmen son dos mujeres refugiadas unieron compartir poema mundo . , expresan sentimientos anhelos , esperanzas miedos . Muestra solidaridad personas # ForzadasAHuir amplificando mensaje . https://t.co/XVYlNBaBQF",0
103,"venecos están dando seguridad manifestantes , detrás camioneta están motorizados https://t.co/Tio983pO7u https://t.co/hjLx2foLe5",1
104,"Hoy conmemoramos Día Mundial Refugiado , designado ONU honrar fortalecer personas refugiadas desplazadas mundo , han visto obligadas abandonar hogar escapando conflictos persecuciones .",0
105,"@CAMBIOSCASTILLO @petrogustavo Señor reactivar relaciones traerá bienestar colombianos , especial frontera derecho generará mismo venezolanos . ¿ cuesta tanto entender ? No cabe cabeza .",0
106,"Feliz tarde ! ! ... talento jóvenes venezolanos recorre mundo ... comparto Chile "" Fete - SINODPC "" . https://t.co/4yrFDqFiUo",0
107,venecos nunca dejan figurar elección mundo .. Hahaha https://t.co/XKoa3R4xjS,1
108,"nuevo presidente Colombia , Gustavo Petro , anunció acercamiento gobierno Nicolás Maduro , hablar fronteras derechos humanos . https://t.co/JFTuXluhJN",0
109,"@HenryNoboaA @LassoGuillermo @juancaholguin @PoliciaEcuador @FFAAECUADOR @USAenEspanol Bien dicho , gustaría presidente Lasso acoja pedido pueblo ecuatoriano , relación extranjeros indocumentados , causa criminalidad protestas país",1
110,"@claudiapalacios no es "" periodista "" escribió venezolanas dejarán parir ? final dice Francia "" no entendió "" es decir no ofrece disculpas expresó mal , culpa es ser tan bruto no entender , no note xenofobia racismo ... https://t.co/ZeTj8QGfzQ",0
111,"Así Maria Isabel , hay mujeres refugiadas buscan ser independientes través emprendimientos # UnidosPaLante # DíaMundialDeLosRefugiados @AcnurColombia @SomosPanasCol 📍 requieres orientación , haz clic aquí : https://t.co/rVdumjmknX https://t.co/p28CgpMUI9",0
112,"@LuigiChetes haces no has mandado videos , chamo ? Pensé éramos amigos Jajajajaja",0
113,@Toma_Unica @KMasllorens Sidor es venezolana . Estás dando dato suelto contexto . Confundes así no llega lado . Obviamente empresas venezolanas van estar ruina sanciones . No defiendo maduro es corrupto . ya no estaría no hubiera sanciones .,0
114,# Venezuela también pidieron no compartían amor Chávez fueran país ; hoy alrededor siete millones venezolanos hacen parte diáspora rebusca pedazo pan mundo . @Marbelle30,0
115,"@Jefferson_Diaz No es así ? dinero chamos queda acá ganan dólar 80ctvs mandan ... Venezuela está dolarizada ? claro sobreviven gran república bolivariana , cosa es no querer darse cuenta",0
116,"@Jessy49867853 mejor ya dijeron , Veneco HDP .... 😂 😂",1
117,@relicheandres @juancaholguin muy huevon quiere legalizar ratas Venezolanas encuentran delinquiendo .,1
118,narcotirania chavista tiene material hacer pasaportes terroristas iraníes venezolanos deben esperar más 6 meses https://t.co/fmUrZN93Ud,1
119,"mundo hay más refugiados desplazados nunca . mitad son niñas niños han dejado atrás . más 70 años , World Vision ha estado allí niñas niños vidas cambian # EnUnInstante . # DiaDelRefugiado https://t.co/MHc2eFCSoP",0
120,@petrogustavo Deberían pedir visa venezolanos regular ingreso hace años no requerían también colombianos migraron Venezuela,0
121,@petrogustavo ¿ éxodo Venezuela también es cambio climático cambio gobierno ?,0
122,Más 17.800 ucranianos ya han tramitado Andalucía protección temporal refugiados https://t.co/RYiSAmnUNo,0
123,"@CCVRT @Cecilia51994130 @LassoGuillermo @CNNEE Ecuador , es único país mundo botan producción lechera agrícola serviría alimentar miles familias venezolanas viven indigencia .",0
124,Ser inmigrante indocumentado es sinónimo muerte tiempos . https://t.co/XAOygd0Jii,0
125,venecos así : 😯 viendo pudimos sacar gobierno lleva años amañado no han podido Maduro xd,0
126,Derechos refugiados = Derechos humanos respeto personas vieron # ForzadasAHuir no es opcional puede negociar .,0
127,"mujeres niñas refugiadas deben ser protegidas manipulación , abuso explotación carácter sexual físico , así discriminación sexual suministro bienes servicios.​ # DíadelasPersonasRefugiadas | @ACNURamericas https://t.co/QrHdgRVSW6",0
128,"Colombia no es Venezuela , Nicaragua , Perú , Chile ... sí , estamos acuerdo , Colombia podría llegar ser Peor , sociocomunismo más radical Latinoamérica . Cuidado "" acuerdo nacional "" , podría ser mayor trampa historia .",0
129,@luisig_vazquez nuevo presidente Colombia va acogerlos hay guardarlos deporten VENECOS CUBANOS malandros pagados narcoterrorismo marcado país década robada .,1
130,"@Gustavoboscan37 @giraltpablo Pablito era hincha DIM , veneco bruto errante . 😁",1
131,@AnderssonBoscan Veneco hpta,1
132,@DiegoAlvaradoFe Largo aquí veneco hp,1
133,@janethinostroza disculpan no puedo creer religión pasan cosas así silencian ahora pasa Venezuela países disque Patria Grande https://t.co/uJMGli9MJH,0
134,@AnderssonBoscan Calla veneco tonto inútil asalariado @LassoGuillermo,1
135,@mjtorresh Expúlsenlos papeles trabajo deambulas calles .,1
136,@EdwarLibertad Venezuela ... culpa está así VENECO asqueroso,1
137,"@felipeleon88 olvidó mencionar ya unieron siempre estuvieron presentes cabecillas barriales famosas CDR "" Comités Defensa Revolución "" formaron década Correista más puro estilo Cubano Venezolano ojo entrenamiento incluído , no es invento",0
138,""" sea , sea sea . persona tiene derecho buscar protección "" , hoy conmemora # DíaDelRefugiado , fecha designada @ONU_es honrar visibilizar situación personas refugiadas desplazadas mundo . 🌎 https://t.co/f5EkQd6kUU",0
139,"Solo 2 cosas @petrogustavo . 1 ) @VLADIMIR_CERRON es persona nefasta política peruana , denuncias corrupción . 2 ) colombia eligio presidente cumpla pueblo no copie modelos socialistas vecino Venezuela . https://t.co/4iIv7SOdIZ",0
140,@AnderssonBoscan No debes opinar no eres ecuatoriano eres chamo mas Ecuador Boscan,1
141,"@SalvadorQuishpe @LassoGuillermo Ecuador son 20000 indigenas más venecos , guerrillas urbanas , femilocas entonces estás mal .... No más subsidios , Iza no manda sinó pueblo pueblo eligió presidente .... IzaTerroristaCorreaFinancista",1
142,"@dani_unicorn1 @Pabloquinterove Imaginate no tener derecho identidad país , imaginate no tenerlo país distinto tuyo . es ha hecho chavismo , negarnos derecho identidad , estes estes , es maldición ser venezolano , eres paria .",0
143,@VLADIMIR_CERRON No seremos Venezuela Cuba .... No constituyente,0
144,"@AndreaSegura12 @LiliMuVe Aca peru monton venecis viven sabroso pidiendo dinero cochecito bebe crios 1 2 años cochecito bien apretaditos , saben hacer Venecos , peruano saca , ñoña no pidiendo nadiecomo hacen vagos",1
145,"acuerdan @claudiapalacios escribió asquerosa columna venezolanas ? Bien , fin dejó sitio . Te adoro , @FranciaMarquezM",0
146,"@AlexisR19919425 @EmmaRincon serio diplomático comprar comida país ? malandro Quinta saqueo arcas venezolanas grupito , sabe vivía antes era madurista tiene ahora ? Comida $ 10,00 dólares cobrada 100 ? Así no ! Asco",0
147,"último tweet noche . Cabe recordar primera punzada muy probable estrella Nacional , dio Rafael Dudamel , horripilante 3-3 Palmaseca . día perdía , iba Arriero , Piscis , Pacho ... bueno chamo ayudo .",0
148,"@andreejmnz Chama sí , obligada dra principio fue mejor mejor . volvería usar mil veces .",0
149,"personas refugiadas también tienen sueños esperanzas . video , Tatiana habla gustaría hacer . Junto padre hermana , vio obligada huir Colombia después sufrir amenazas . no frena ganas vivir . # SoyHumano # SoyHumana https://t.co/zTK0uiCV26",0
150,"hice nipples primer nostril cagada pregunté chamo había desmayado antes "" Uuuy montón gente "" bueno ya estaba predispuesta caer templinche https://t.co/biOMraB2b7",0
151,"@castro_luis @JulioTupac No , mamá es bien decente . talvez comparados Venezuela somos paraíso , no estarían país . son buenos punto es trochas pasan delincuentes papeles nombre robar , matar hacer daños .",1
152,"Pese estar mes mundial refugiado , migrante personas situación no retorno tenemos@que conmemorar atroces imágenes . @ACNURspain @eACNUR https://t.co/w0ZQKrCNEw",0
153,@Ordu_0510 yA sOmOs kOmo VeneSueLa,0
154,"Tremendo discurso . papel , mamá Dilan 🥺 , antanas 🥺 gente gritaba pudo , no más guerra . Dios dé sabiduría afrontar problemas sociales , políticos , económicos fin … .",0
155,@petrogustavo creo final descubriremos man es venezolano,1
156,@gleijournalist @vivianavizufe @dchxng recomiendo comprender lectura tweet siempre he apoyado venezolanos . Caramba . Tampoco ayudan,0
157,Oro Perú esgrima # JuegosBolivarianos2022 . peruano Lucas Lutar venció 15-14 venezolano Antonio Leal competencia florete . Así fue final enfrentamiento . 🤺 https://t.co/tmqsPsVCLd,0
158,"Empezó cambio , ya bandidos calles . Petro posesionarse ya está violando división poderes . río clase política fue , menos año da patada pone sostener dictadura venezolana .",0
159,"mujeres niñas refugiadas deben ser protegidas manipulación , abuso explotación carácter sexual físico , así discriminación sexual suministro bienes servicios.​ # DiaDeLasPersonasRefugiadas @ONUMujeres https://t.co/DrZNBNaT95",0
160,"Refugiado Universidad Salesiana Quito , Gonzalo Ulcuando , oriundo Cayambe - Cangahua , comenta recorrido ha debido realizar llegar capital razones sumarse # ParoNacionalEc2022 : 👉 https://t.co/XFJ4IVLH7o https://t.co/iQGDUomddB",0
161,"@ceroirreflexion @miguelsabat @SalimkAL @JosueBa59432478 @Mibelis Es chamo más sortario Vzla . pusieron presid AN no habia mas . reconoce EEUU , no mandan marines , asignan recursos creía fin estaba cerca , sigue reconociendo Biden . solo está esperando digan , Chao .",0
162,# DíaDelRefugiado llevamos delicioso almuerzo compartir personas # refugiadas comunidad San Martín Porres . plato estrella fue duda Pabellón Criollo 🇻 🇪 . https://t.co/RnIArJwLGC,0
163,@ANGELOFRANCOS Sabía Bolivar fue calificado época guerrillero bandolero ? Sabía orígenes ejército remontan cuadrilla forajidos refugiada llanos casanare ?,0
164,"año más conmemoración seguimos gran deuda social # refugiados Ecuador ; año denominado : "" sea . sea , sea . persona tiene derecho buscar protección "" . # DíaDelRefugio # Migraciones # CiudadaníaUniversal # integración https://t.co/vyumZMTWMF",0
165,"¡ Estamos contigo momentos difíciles ! 🤗 Cuidando salud personas refugiadas sociedad , estamos atendiendo teléfono 📞 cita previa casos urgentes . necesitas ayuda , llama escríbenos número más cercano lugar estés 🇪 🇨 . https://t.co/wBE4LWrjWl",0
166,Autoridades venezolanas alerta onda tropical podría convertirse tormenta afectar costas país https://t.co/sceNPidMzw,0
167,"@willaxtv Quién entiende Votante Sudamericano ! Hemos sido invadidos Desplazados Venezolanos gobernados Narco Dictadura Castro Chavismo DDHH Básicos , Miseria pides Libertad ☠ ️Miren Sentenciados Protestas J-21 🇨 🇺 así Lula 🐀 Sentenciado puede ganar ? 👇 https://t.co/OXVnHlLvVA",0
168,Emprendedora Venezolana Colombia invito participar 👉 🏼 https://t.co/haAVYvfVj3 evento @venprendedoras comunidad mujeres venezolanas mundo !,0
169,"bueno ya paso paso , unico queda es aceptar derrota esperar plan gobierno inviable pueda menos dejar frutos mejor escenario , contrario preparanse ser nuevos chamos jajajajaja",0
170,Mca Chama da muy mala espina .,0
171,@ESTEFANIESPIN Especialmente ... Ya cree HIJUEPUTAS vendidos poder ...,0
172,@miguelcortesmu @Lidio_Dominante Creería relación población deben ser menores venezolanas … no creo sea ahí,0
173,Chamo noo https://t.co/VBLYVLRj8S,0
174,Ucrania Venezuela : multiplica cifra refugiados ... https://t.co/b5RQGBi2bE través @YouTube,0
175,@RaulEspinelDED @TaniaCris12 @PoliciaEcuador @santiguarderas @LassoGuillermo ahí están indefensos venecos .....,1
176,"@andresbernanrdo @DecadaRobada desafiliación dice ; "" va profunda tristeza "" . Cristina Reyes , va sondeos opinión no figura cantante grupo , unió Cinthya Viteri no es afiliada PSC hace 10 años goza estatus refugiada "" Madera Guerrero """,0
177,"menos 46 cuerpos migrantes documentos fueron encontrados camión remolque San Antonio , Texas , informó ABC News citando fuentes . 16 personas , cuatro niños , fueron trasladadas hospitales zona síntomas deshidratación - Sputnik",0
178,"estoy acordando , 2017 Venezuela hacían megas colas Saime Caracas siempre habían personas vestidas tiempos Jesús . ¿ más vio ?",0
179,@tarabeisbol23 Claro es Venezuela,0
180,"@EAristeguieta Tu tambien eres venecos dicen "" haiga "" editor nacional .... digital , entrevista portal paraco especialista economia pobre hp pelo cobre estupido sonlos escuacas .",1
181,"Vicepresidente , papel crisis política https://t.co/trUIRT8oWO",0
182,@poIiacriIamide hizo hace aún hoy día oposición venezolana,0
183,@LaPosta_Ecu @LeonidasIzaSal1 Buenas noticias pueblo malas Veneco .,0
184,@AnderssonBoscan Calla veneco mierda,1
